K,alpha,beta,prior_scale,method,val_accuracy,val_auc,is_best,test_accuracy,test_auc
5,0.1,0.01,0.1,svi,0.5712861415752741,0.49996135547807563,False,,
5,0.1,0.01,0.1,mcmc,0.8664007976071785,0.7384452879446266,False,,
5,0.1,0.01,1.0,svi,0.6420737786640079,0.4171504388300156,False,,
5,0.1,0.01,1.0,mcmc,0.8664007976071785,0.7473120588083745,False,,
5,0.1,0.1,0.1,svi,0.4506480558325025,0.5169821204678564,False,,
5,0.1,0.1,0.1,mcmc,0.8664007976071785,0.6205451453892791,False,,
5,0.1,0.1,1.0,svi,0.3698903290129611,0.503044329560483,False,,
5,0.1,0.1,1.0,mcmc,0.8664007976071785,0.6053277914226337,False,,
5,0.1,0.5,0.1,svi,0.3988035892323031,0.4920907545128214,False,,
5,0.1,0.5,0.1,mcmc,0.8664007976071785,0.9291001837761711,False,,
5,0.1,0.5,1.0,svi,0.5174476570289133,0.39181251395496625,False,,
5,0.1,0.5,1.0,mcmc,0.8664007976071785,0.9346907579478899,False,,
5,0.5,0.01,0.1,svi,0.4167497507477567,0.5205674733352799,False,,
5,0.5,0.01,0.1,mcmc,0.8664007976071785,0.7381189564261547,False,,
5,0.5,0.01,1.0,svi,0.6939182452642074,0.4754435532349759,False,,
5,0.5,0.01,1.0,mcmc,0.8664007976071785,0.7306562698589903,False,,
5,0.5,0.1,0.1,svi,0.45164506480558325,0.5142770039331535,False,,
5,0.5,0.1,0.1,mcmc,0.8664007976071785,0.9580663998763376,False,,
5,0.5,0.1,1.0,svi,0.8444666001994018,0.6063067859780499,False,,
5,0.5,0.1,1.0,mcmc,0.905284147557328,0.9574566751970871,True,0.9139784946236559,0.937087646652864
5,0.5,0.5,0.1,svi,0.6041874376869392,0.5366092437696444,False,,
5,0.5,0.5,0.1,mcmc,0.8664007976071785,0.8825721793792829,False,,
5,0.5,0.5,1.0,svi,0.7387836490528414,0.5936614396372568,False,,
5,0.5,0.5,1.0,mcmc,0.8664007976071785,0.9070642186077668,False,,
5,1.0,0.01,0.1,svi,0.49750747756729813,0.5299452106555829,False,,
5,1.0,0.01,0.1,mcmc,0.8664007976071785,0.9392078731772667,False,,
5,1.0,0.01,1.0,svi,0.15952143569292124,0.45581642993318794,False,,
5,1.0,0.01,1.0,mcmc,0.8664007976071785,0.9341067962832558,False,,
5,1.0,0.1,0.1,svi,0.5443668993020937,0.4273998248115007,False,,
5,1.0,0.1,0.1,mcmc,0.8664007976071785,0.7895333459285849,False,,
5,1.0,0.1,1.0,svi,0.46360917248255235,0.45337753121618607,False,,
