K,alpha,beta,prior_scale,method,val_accuracy,val_auc
5,0.1,0.01,0.1,svi,0.6310331072995612,0.5353859588515277
5,0.1,0.01,0.1,mcmc,0.8659752692461109,0.9174288785067228
5,0.1,0.01,1.0,svi,0.5959313921021141,0.6081826731153078
5,0.1,0.01,1.0,mcmc,0.8659752692461109,0.9247768199864008
5,0.1,0.1,0.1,svi,0.48384523334662943,0.49496885350178765
5,0.1,0.1,0.1,mcmc,0.8659752692461109,0.9052417143734508
5,0.1,0.1,1.0,svi,0.26166733147187876,0.3882564541247176
5,0.1,0.1,1.0,mcmc,0.8659752692461109,0.9256487025948104
5,0.1,0.5,0.1,svi,0.38213003589948147,0.4877127612906056
5,0.1,0.5,0.1,mcmc,0.8659752692461109,0.9204304303480951
5,0.1,0.5,1.0,svi,0.5033905065815716,0.5265643164221009
5,0.1,0.5,1.0,mcmc,0.8659752692461109,0.9319109034677896
5,0.5,0.01,0.1,svi,0.3741523733546071,0.5070456614244041
5,0.5,0.01,0.1,mcmc,0.8659752692461109,0.9286797284551775
5,0.5,0.01,1.0,svi,0.6876745113681692,0.5025889155754425
5,0.5,0.01,1.0,mcmc,0.9046669325887515,0.9357343006295102
5,0.5,0.1,0.1,svi,0.44036697247706424,0.4819543605097498
5,0.5,0.1,0.1,mcmc,0.8659752692461109,0.7926276567743634
5,0.5,0.1,1.0,svi,0.7602712405265257,0.5336668695575881
5,0.5,0.1,1.0,mcmc,0.8659752692461109,0.8203085587067623
5,0.5,0.5,0.1,svi,0.6505783805345033,0.48907130793358344
5,0.5,0.5,0.1,mcmc,0.8659752692461109,0.945793851856726
5,0.5,0.5,1.0,svi,0.7850019944156362,0.5435296988440701
5,0.5,0.5,1.0,mcmc,0.8659752692461109,0.9515145533109606
5,1.0,0.01,0.1,svi,0.43877143996808937,0.5215338553661907
5,1.0,0.01,0.1,mcmc,0.8659752692461109,0.934659527099647
5,1.0,0.01,1.0,svi,0.19385719984044675,0.37952391919457784
5,1.0,0.01,1.0,mcmc,0.8659752692461109,0.9360262990502513
5,1.0,0.1,0.1,svi,0.5149581172716394,0.5053073797460025
5,1.0,0.1,0.1,mcmc,0.8659752692461109,0.857536301024325
5,1.0,0.1,1.0,svi,0.4806541683286797,0.43692697023535343
5,1.0,0.1,1.0,mcmc,0.8659752692461109,0.8648307780044305
5,1.0,0.5,0.1,svi,0.4902273633825289,0.4690138952863504
5,1.0,0.5,0.1,mcmc,0.8659752692461109,0.9377193415367069
5,1.0,0.5,1.0,svi,0.5568408456322298,0.5707417582417582
5,1.0,0.5,1.0,mcmc,0.8659752692461109,0.9377522427672128
10,0.1,0.01,0.1,svi,0.5955325089748703,0.4967091915070957
