topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54
0.3491765,2.582173e-05,0.42244998,0.00023001984,0.0002132553,0.07303962,0.00013736953,1.8886609e-05,0.0010234591,6.8765155e-05,0.00013755934,0.07548239,5.141012e-05,0.00011372836,0.00013851495,1.905248e-05,5.0591218e-05,9.029377e-05,0.00013805389,1.9101239e-05,5.543555e-05,7.6899196e-05,0.00013843385,1.9126504e-05,5.759225e-05,0.0022235992,0.00013831827,1.9185494e-05,0.0019106597,9.003185e-05,0.00013831285,1.918297e-05,0.00010793832,7.860345e-05,0.0001382994,1.9142819e-05,9.2553746e-05,8.5142136e-05,0.00013845222,1.9137067e-05,0.000114370836,8.102631e-05,0.0001383779,1.9146451e-05,0.070491,8.051261e-05,0.00013838423,1.9156587e-05,0.0001368769,8.2106606e-05,0.00013838489,1.9153063e-05,0.00013229976,8.0471924e-05,0.00013838502
0.26005632,0.00041363755,2.8637125e-05,0.2898735,0.0001364175,8.813884e-05,2.8958613e-05,4.645149e-05,0.00016670435,8.8291614e-05,2.8965627e-05,4.678881e-05,0.00018561148,8.9327696e-05,2.9012986e-05,4.6846224e-05,0.00020576261,8.887207e-05,2.8989893e-05,4.699662e-05,0.19872864,8.9095e-05,2.901509e-05,4.6934096e-05,0.00030732393,8.9721965e-05,2.900167e-05,4.70438e-05,0.24536584,9.0089015e-05,2.9000952e-05,4.7045454e-05,0.00040619317,8.992807e-05,2.9000397e-05,4.697453e-05,0.00039185246,9.0268506e-05,2.9013127e-05,4.6962214e-05,0.00040710397,9.0375404e-05,2.9006345e-05,4.6983267e-05,0.00040607428,9.036696e-05,2.9007122e-05,4.7001377e-05,0.00040713657,9.048147e-05,2.9007122e-05,4.699523e-05,0.00040790802,9.036161e-05,2.900715e-05
1.772352e-05,0.61531323,1.6297257e-05,3.6038862e-05,0.00017702683,0.24217124,1.5475618e-05,3.5876048e-05,0.00019094563,0.13560247,1.5183966e-05,3.7566813e-05,0.0001787271,0.00010490493,1.4413092e-05,3.6962527e-05,0.00018107634,0.000118042764,1.463631e-05,3.6866662e-05,0.00017683902,0.00015944858,1.5625372e-05,3.5814002e-05,0.00017709997,0.000119574855,1.4562449e-05,3.586161e-05,0.00017717428,0.00011560581,1.5792682e-05,3.5873207e-05,0.00017763786,0.0026525138,1.4565059e-05,3.5828216e-05,0.0001773577,0.00011077043,1.4674745e-05,3.585043e-05,0.00017877347,0.00011174135,1.4642187e-05,3.5828354e-05,0.00017764886,0.00016885543,1.4643779e-05,3.5839217e-05,0.00017760362,0.000115386196,1.46440025e-05,3.5835015e-05,0.00017758737,0.00011307858,1.4644184e-05
0.008549334,1.0308576e-05,3.394088e-06,0.17742383,0.00010050402,2.3674325e-05,3.3921785e-06,6.840167e-06,0.00010338382,2.3572271e-05,3.3941915e-06,6.9799216e-06,8.852396e-05,2.4062283e-05,3.400276e-06,6.950436e-06,0.6468712,2.382449e-05,3.3998933e-06,6.962357e-06,0.00016448858,2.3917144e-05,3.4002046e-06,6.984569e-06,0.16520673,2.3979816e-05,3.3996762e-06,7.005837e-06,0.00018686481,2.4047418e-05,3.3996796e-06,7.004501e-06,0.00014167135,2.399981e-05,3.3995498e-06,6.993107e-06,0.00014216115,2.4043957e-05,3.400422e-06,6.9908074e-06,0.00014237742,2.4062949e-05,3.4000489e-06,6.994515e-06,0.0001419754,2.4066507e-05,3.4000752e-06,6.997023e-06,0.00014198177,2.409149e-05,3.4000782e-06,6.996476e-06,0.00014200789,2.40677e-05,3.4000816e-06
2.025168e-05,4.4808618e-05,1.3286354e-05,1.29606415e-05,0.17183438,0.000287936,8.339419e-06,1.3132078e-05,0.00030167896,6.698889e-05,8.375788e-06,1.3176209e-05,0.0003504353,6.713932e-05,1.0281401e-05,1.3182959e-05,0.00046296584,7.020985e-05,8.393004e-06,1.3214578e-05,0.18151587,0.12370267,8.411545e-06,1.3303865e-05,0.12868065,7.086046e-05,8.4093635e-06,1.3376635e-05,0.0007851767,7.409339e-05,8.409468e-06,1.3562754e-05,0.00078532787,8.560096e-05,8.40861e-06,1.3539259e-05,0.38656634,7.413714e-05,8.414048e-06,1.4751168e-05,0.0008860747,7.392696e-05,8.411754e-06,1.3662611e-05,0.0008418536,7.4100244e-05,8.411963e-06,1.5310243e-05,0.0009150321,7.459416e-05,8.411979e-06,1.38066935e-05,0.0009114604,7.412032e-05,8.4119865e-06
9.098107e-06,8.940779e-06,5.961769e-06,3.400137e-05,0.00011564684,0.06356326,0.049192715,2.9246681e-05,5.049047e-05,0.061115783,0.07483954,2.9628563e-05,9.302965e-05,0.0004896678,1.3309936e-05,3.0379531e-05,0.0014360242,0.00017089823,0.0010104078,3.0260315e-05,0.0001526167,0.40014002,0.051735934,3.0259043e-05,0.00017582366,0.0005391792,1.5599613e-05,3.0425139e-05,0.10993404,0.00019891831,1.5598616e-05,3.8685008e-05,0.00027998857,0.07098387,1.5585663e-05,3.0742383e-05,0.11120405,0.00021436207,1.5660458e-05,3.0844698e-05,0.00023596139,0.00018957652,1.5632988e-05,3.0779964e-05,0.0002464964,0.00019200609,1.5634776e-05,3.0806805e-05,0.00029425285,0.00019985432,1.5634985e-05,3.0801224e-05,0.00024197403,0.00019443661,1.5635045e-05
6.446687e-07,5.533179e-06,4.2512872e-07,9.743588e-07,4.2421954e-05,8.039818e-06,4.3077506e-07,1.1537212e-06,0.00017129438,5.965422e-06,4.3057585e-07,1.0510563e-06,0.18268308,5.9460253e-06,4.3110674e-07,1.1072292e-06,3.6933463e-05,6.445996e-06,4.309386e-07,1.0927631e-06,0.0008869536,6.092351e-06,4.3101954e-07,1.2133772e-06,0.00013785381,6.7337214e-06,4.3101383e-07,2.5040902e-06,0.00019579164,6.2778354e-06,4.3101338e-07,1.1102225e-06,0.000559124,6.272575e-06,4.31013e-07,1.1095418e-06,0.26216367,6.4520727e-06,4.3102204e-07,1.1098107e-06,0.0005529682,6.322537e-06,4.310171e-07,1.1096466e-06,0.00085737987,6.320686e-06,4.310171e-07,1.1099006e-06,0.0013128374,6.333641e-06,4.3101792e-07,1.109814e-06,0.5502882,6.321512e-06,4.3101792e-07
8.299758e-07,1.7977419e-06,6.2334124e-07,2.0139218e-05,1.6855657e-06,1.6501571e-06,5.611513e-07,2.9534804e-05,1.6100693e-06,1.8678269e-06,5.642299e-07,3.67548e-05,1.6113502e-06,1.6897085e-06,5.66193e-07,4.8422917e-05,1.715715e-06,1.8870041e-06,5.9667e-07,8.296934e-05,1.6838627e-06,1.7753614e-06,5.7401445e-07,0.00017262784,1.6237901e-06,1.7496296e-06,5.7404293e-07,0.00019245084,1.6236027e-06,1.7835223e-06,5.740462e-07,0.00047435347,1.6248156e-06,1.7815215e-06,5.740413e-07,0.00058911886,1.6245382e-06,1.7649488e-06,5.740517e-07,0.0036096598,1.6249704e-06,1.7647434e-06,5.740495e-07,0.9926059,1.6249318e-06,1.7649253e-06,5.740495e-07,0.0010416799,1.6249332e-06,1.7650261e-06,5.740495e-07,0.0010411709,1.6249332e-06,1.7649992e-06,5.740495e-07
4.6189012e-05,0.7082697,2.0612746e-05,3.0107658e-05,0.0001399986,0.00016062878,2.0641033e-05,3.2310385e-05,0.00014431348,0.14048803,2.0656551e-05,3.0367972e-05,0.0001425888,9.2765986e-05,2.1674196e-05,3.0396222e-05,0.0001456255,0.081786804,2.0688962e-05,3.0426152e-05,0.00014319083,0.00015127227,2.0721485e-05,3.0453148e-05,0.065581106,9.3117866e-05,2.070898e-05,3.051286e-05,0.00014892034,9.539203e-05,2.0707972e-05,3.0522202e-05,0.00014943905,9.113993e-05,2.1977065e-05,3.0488454e-05,0.00014933675,9.556795e-05,2.0720576e-05,3.0478775e-05,0.00014963471,0.000103403,2.0713838e-05,3.048215e-05,0.00014955824,0.0002893944,2.0714491e-05,3.049497e-05,0.0001495347,0.00010388178,2.071451e-05,3.0490348e-05,0.00014956409,0.00010037275,2.071455e-05
5.756507e-06,1.2129375e-05,2.7243234e-06,6.738561e-06,2.9906705e-05,0.0029642293,2.7319388e-06,6.5701447e-06,3.0443502e-05,0.9553787,2.7595222e-06,6.711822e-06,3.095484e-05,0.00020336015,2.7461986e-06,6.4979613e-06,3.1535885e-05,0.00020304098,2.7338544e-06,6.497342e-06,3.0730327e-05,0.00022624001,2.7343287e-06,6.5209306e-06,3.8336602e-05,0.00020836185,2.7340943e-06,6.501811e-06,3.1431395e-05,0.000243335,2.734089e-06,6.5015997e-06,3.1438227e-05,0.038818702,2.7340734e-06,6.5003915e-06,3.1505704e-05,0.00022386968,2.734277e-06,6.5005897e-06,3.1468768e-05,0.00023087564,2.7341673e-06,6.500329e-06,3.1454936e-05,0.0002856039,2.7341673e-06,6.500714e-06,3.1462136e-05,0.00023165994,2.7341723e-06,6.5005897e-06,3.145596e-05,0.00022863784,2.7341723e-06
